Konsum,Feedin,consumlimit_active,feedinlimit_active,limit_consum,limit_feedin,secondmarket_consum,secondmarket_feedin,Zielfunktionswert,Gesammtkostenenergie,Tarif_consum,Tarif_feedin,Konsumgesammt,feedin_gesammt
2140.05299272487,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2198.17395833333,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2304.2568287037,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2292.57779431217,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2255.64875992063,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2168.12686838624,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2170.59783399471,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2160.60451388889,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2162.11833664021,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2177.54168320106,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2189.71264880952,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2166.62885251323,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2190.7736276455,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2171.53983134921,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2185.22508267196,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2167.0984292328,0.0,0,0,20000.0,10000000.0,0.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
